Summary,Issue Type,Priority,Assignee,Reporter,Labels,Epic Link,Description,Story Points,Sprint,Depends On,Blocks
"DG-001: PII Classification Rules, Taxonomy & Field-Type Mapping",Story,High,DG Team,Paulam Basu,"data-governance,requirements,pii,hashing",UC Masking Policy Implementation,"Nathan to update and share final masking requirements document. DG Team to define: (1) PII taxonomy with sensitivity labels (SSN, EMAIL, DOB etc.), (2) field-type classification — joinable fields (SSN, email) → deterministic hashing; free-text fields → redact-all; non-joinable PII → masking function. Output is a signed-off requirements document consumed by MP-001 and MP-002.",3,Sprint 1,,"MP-001,MP-002"
DG-002: DG Metadata Catalog Ownership & Access Model,Story,High,DG Team,Paulam Basu,"data-governance,metadata-catalog,ownership",UC Masking Policy Implementation,Governance team to confirm DG metadata catalog ownership model: functions/tags owned centrally in DG metadata catalog; engineers only tag columns. Define access control for who can create/modify masking functions vs. who can only apply tags. Output: ownership matrix and access model doc.,3,Sprint 1,,"MP-003,MP-004"
DG-003: Hashing Strength & Salting Review (Security/ITRC),Story,High,Rahul,Paulam Basu,"data-governance,security,hashing,salting,itrc",UC Masking Policy Implementation,"Rahul / Scott to review hashing strength (salting) with security/ITRC team. Determine approved hash algorithm and salting strategy for deterministic hashing on joinable fields (SSN, email). Output: approved hashing specification consumed by MP-003.",3,Sprint 1,,MP-003
DG-004: Auto-Classification Testing for Free-Text Fields,Story,Medium,Rahul,Paulam Basu,"data-governance,auto-classification,free-text,tagging",UC Masking Policy Implementation,Rahul / Governance to test auto-classification especially for free-text field tagging. Validate that free-text PII columns are correctly auto-tagged and routed to redact-all policy. Output: classification test results and approved tagging ruleset.,3,Sprint 1,,MP-001
DG-005: Audit & Monitoring Requirements Spec,Story,Medium,DG Team,Paulam Basu,"data-governance,audit,monitoring,requirements",UC Masking Policy Implementation,"DG Team to define audit dashboard requirements: what must be logged (access events, mask-applied vs bypass), anomaly thresholds, and reporting cadence for compliance. Output: audit requirements spec.",2,Sprint 1,,MP-010
PILOT-001: Select Pilot PII Column & Define End-to-End Test Plan,Story,High,Paulam Basu,Paulam Basu,"pilot,masking,planning",UC Masking Policy Implementation,"Paulam / Scott / Alok to select one PII column for end-to-end pilot (function → tag → policy). Preferred candidate: EMAIL (joinable, deterministic hash). Define test plan: expected masked output, join correctness check, DG review checkpoint. DEPENDS ON: DG-001.",2,Sprint 2,DG-001,PILOT-002
PILOT-002: Implement Pilot Masking — One Column End-to-End,Story,High,Balaji,Paulam Basu,"pilot,masking,engineering,unity-catalog",UC Masking Policy Implementation,"Balaji implements full masking stack for the pilot column: (1) create deterministic hash function in DG metadata catalog per DG-003 spec, (2) apply UC column tag per DG-001 taxonomy, (3) bind masking policy in Unity Catalog. Paulam reviews each step. DEPENDS ON: PILOT-001, DG-003.",5,Sprint 2,"PILOT-001,DG-003",PILOT-003
PILOT-003: Pilot DG Review & Sign-off,Story,High,DG Team,Paulam Basu,"pilot,review,data-governance,sign-off",UC Masking Policy Implementation,"DG Team reviews pilot column masking output: validate hash output format, join correctness, policy binding, and tag accuracy. Go/No-Go decision to proceed with full rollout. Team to set recurring working session per action item. DEPENDS ON: PILOT-002.",2,Sprint 2,PILOT-002,MP-001
"MP-001: Full PII Column Inventory, Tagging & Classification",Story,High,Paulam Basu,Paulam Basu,"pii,unity-catalog,tagging,inventory",UC Masking Policy Implementation,"Following pilot sign-off: catalog ALL PII columns across Redshift schemas. Apply UC column tags per DG-001 taxonomy (joinable → hash tag, free-text → redact tag, non-joinable → mask tag). Engineers tag columns only; functions owned by DG metadata catalog. DEPENDS ON: PILOT-003, DG-004.",5,Sprint 3,"PILOT-003,DG-004","MP-002,MP-003"
MP-002: Masking Function Library — Full Build in DG Metadata Catalog,Story,High,Balaji,Paulam Basu,"masking-functions,unity-catalog,engineering,dg-catalog",UC Masking Policy Implementation,"Balaji builds full masking function library in DG metadata catalog: (1) deterministic hash function (salted, per DG-003 spec) for joinable fields, (2) redact-all function for free-text fields, (3) partial mask / nullify for non-joinable PII. Policies must exist per catalog. Paulam reviews. DEPENDS ON: DG-001, DG-003, PILOT-003.",5,Sprint 3,"DG-001,DG-003,PILOT-003","MP-003,MP-004"
MP-003: ABAC Tag-Driven Policy Framework (All PII Types),Story,High,Paulam Basu,Paulam Basu,"abac,masking,unity-catalog,framework,policy",UC Masking Policy Implementation,"Implement ABAC policy framework: Function + Tag + Masking Policy pattern per catalog. CREATE COLUMN MASK / ROW FILTER policies that evaluate CURRENT_USER() group membership against UC tags. Covers all three policy types: hash, redact-all, partial mask. DEPENDS ON: MP-001, MP-002, DG-002.",8,Sprint 3,"MP-001,MP-002,DG-002","MP-004,MP-005"
MP-004: Column Mask Policy Binding — All PII Tables,Story,High,Balaji,Paulam Basu,"masking,binding,unity-catalog,pii",UC Masking Policy Implementation,Balaji applies ALTER TABLE ... SET MASK bindings to all tagged PII columns across bronze/silver layers. Validate per-catalog policy existence. Paulam validates propagation. DEPENDS ON: MP-003.,5,Sprint 3,MP-003,"MP-005,MP-006"
MP-005: Role & Group Mapping for Masking Exemptions,Story,Medium,Balaji,Paulam Basu,"rbac,groups,unity-catalog,exemptions",UC Masking Policy Implementation,"Create Unity Catalog groups (data_steward, pii_reader, masked_reader) per DG-002 access model. Configure masking policies to pass-through for privileged roles. Disable direct S3 access — enforce all access via Unity Catalog. DEPENDS ON: DG-002, MP-004.",5,Sprint 3,"DG-002,MP-004",MP-006
MP-006: Join Correctness Validation Post-Masking,Story,High,Paulam Basu,Paulam Basu,"validation,reconciliation,hashing,join-correctness",UC Masking Policy Implementation,"Validate deterministic hash on joinable fields (SSN, email) produces consistent output for correct join results. Implement pre/post reconciliation logic. Confirm no partial-reveal on hashed columns. DEPENDS ON: MP-004, MP-005.",8,Sprint 4,"MP-004,MP-005",MP-007
MP-007: DLT Pipeline Masking Validation,Story,Medium,Balaji,Paulam Basu,"dlt,pipeline,masking,validation",UC Masking Policy Implementation,Validate DLT-Meta pipelines respect UC masking at read time. Confirm silver/gold materialized views do not expose raw PII. Verify direct S3 access is fully disabled. DEPENDS ON: MP-006.,5,Sprint 4,MP-006,MP-008
MP-008: DABs Packaging for Multi-Environment Deployment,Story,Medium,Balaji,Paulam Basu,"dabs,cicd,multi-env,deployment",UC Masking Policy Implementation,"Package masking functions, tags, and policy bindings in Databricks Asset Bundles for dev/qa/prod. Scott reviews architecture. DEPENDS ON: MP-007.",5,Sprint 4,MP-007,MP-009
MP-009: Audit Logging & system.access Dashboard,Story,Medium,Paulam Basu,Paulam Basu,"audit,logging,lakeview,dashboard,system-access",UC Masking Policy Implementation,"Build Lakeview dashboard on system.access per DG-005 spec: PII access by user, mask-applied vs bypass ratio, anomaly alerts, per-catalog policy hit tracking. Balaji supports query development. DEPENDS ON: DG-005, MP-004.",8,Sprint 4,"DG-005,MP-004",MP-010
MP-010: UAT & Full Data Governance Sign-off,Story,High,DG Team,Paulam Basu,"uat,sign-off,data-governance,final",UC Masking Policy Implementation,"DG Team conducts full UAT: validate all PII types (hash, redact-all, partial mask), user role exemptions, audit dashboard, and S3 lockdown. Scott signs off on architecture. Team sets recurring iteration session. DEPENDS ON: MP-008, MP-009.",3,Sprint 5,"MP-008,MP-009",
